Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
W,W44X335,W44X335,F,335,98.5,44.0,44      ,–,–,–,15.9,16      ,–,–,–,1.03,1      ,  1/2 ,1.77,1  3/4 ,–,–,–,2.56,2  5/8 ,1  5/16,–,–,–,–,–,4.50,–,–,38.0,–,–,31100,1620,1410,17.8,1200,236,150,3.49,–,–,–,74.7,535000,–,168,1180,–,–,278,805,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.24,42.2,132,148
W,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,–,–,–,15.8,15  7/8 ,–,–,–,0.865,  7/8 ,  7/16,1.58,1  9/16,–,–,–,2.36,2  7/16,1  1/4 ,–,–,–,–,–,5.02,–,–,45.0,–,–,27000,1410,1240,17.8,1040,205,132,3.49,–,–,–,50.9,461000,–,166,1040,–,–,248,701,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.20,42.0,131,147
W,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,–,–,–,15.8,15  3/4 ,–,–,–,0.785, 13/16,  7/16,1.42,1  7/16,–,–,–,2.20,2  1/4 ,1  3/16,–,–,–,–,–,5.57,–,–,49.6,–,–,24100,1270,1110,17.7,923,182,117,3.47,–,–,–,37.3,405000,–,165,928,–,–,223,630,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.17,41.9,131,147
W,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,–,–,–,15.8,15  3/4 ,–,–,–,0.710, 11/16,  3/8 ,1.22,1  1/4 ,–,–,–,2.01,2  1/16,1  3/16,–,–,–,–,–,6.45,–,–,54.8,–,–,20800,1100,971,17.5,796,157,101,3.43,–,–,–,24.9,346000,–,165,793,–,–,192,547,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.13,41.7,130,146
W,W40X593,W40X593,T,593,174,43.0,43      ,–,–,–,16.7,16  3/4 ,–,–,–,1.79,1 13/16, 15/16,3.23,3  1/4 ,–,–,–,4.41,4  1/2 ,2  1/8 ,–,–,–,–,–,2.58,–,–,19.1,–,–,50400,2760,2340,17.0,2520,481,302,3.80,–,–,–,445,997000,–,166,2240,–,–,479,1370,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.63,39.8,130,147
W,W40X503,W40X503,T,503,148,42.1,42      ,–,–,–,16.4,16  3/8 ,–,–,–,1.54,1  9/16, 13/16,2.76,2  3/4 ,–,–,–,3.94,4      ,2      ,–,–,–,–,–,2.98,–,–,22.3,–,–,41600,2320,1980,16.8,2040,394,249,3.72,–,–,–,277,789000,–,161,1830,–,–,403,1150,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.50,39.3,129,145
W,W40X431,W40X431,T,431,127,41.3,41  1/4 ,–,–,–,16.2,16  1/4 ,–,–,–,1.34,1  5/16, 11/16,2.36,2  3/8 ,–,–,–,3.54,3  5/8 ,1  7/8 ,–,–,–,–,–,3.44,–,–,25.5,–,–,34800,1960,1690,16.6,1690,328,208,3.65,–,–,–,177,638000,–,158,1510,–,–,341,969,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.41,38.9,127,143
W,W40X397,W40X397,T,397,117,41.0,41      ,–,–,–,16.1,16  1/8 ,–,–,–,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,–,–,–,3.38,3  1/2 ,1 13/16,–,–,–,–,–,3.66,–,–,28.0,–,–,32000,1800,1560,16.6,1540,300,191,3.64,–,–,–,142,579000,–,156,1380,–,–,318,891,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.38,38.8,126,142
W,W40X372,W40X372,T,372,110,40.6,40  5/8 ,–,–,–,16.1,16  1/8 ,–,–,–,1.16,1  3/16,  5/8 ,2.05,2  1/16,–,–,–,3.23,3  5/16,1 13/16,–,–,–,–,–,3.93,–,–,29.5,–,–,29600,1680,1460,16.5,1420,277,177,3.60,–,–,–,116,528000,–,155,1280,–,–,295,829,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,38.6,125,141
W,W40X362,W40X362,T,362,106,40.6,40  1/2 ,–,–,–,16.0,16      ,–,–,–,1.12,1  1/8 ,  9/16,2.01,2      ,–,–,–,3.19,3  1/4 ,1  3/4 ,–,–,–,–,–,3.99,–,–,30.5,–,–,28900,1640,1420,16.5,1380,270,173,3.60,–,–,–,109,513000,–,154,1240,–,–,289,808,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,38.6,125,141
