End X,End Y,End Z,Start X,Start Y,Start Z
-0.3115,0.3634,0.0000,-0.3360,0.3379,0.0000
-0.2923,1.0569,0.0000,-0.3384,1.0130,0.0000
-0.2923,0.3816,0.0000,-0.3115,0.3634,0.0000
-0.2691,0.4021,0.0000,-0.2923,0.3816,0.0000
-0.2462,1.1007,0.0000,-0.2923,1.0569,0.0000
-0.2455,0.4224,0.0000,-0.2691,0.4021,0.0000
-0.2225,0.4428,0.0000,-0.2455,0.4224,0.0000
-0.2001,1.1446,0.0000,-0.2462,1.1007,0.0000
-0.1996,0.4637,0.0000,-0.2225,0.4428,0.0000
-0.1813,0.5219,0.0000,-0.1809,0.5033,0.0000
-0.1809,0.5033,0.0000,-0.1790,0.4828,0.0000
-0.1792,0.5441,0.0000,-0.1813,0.5219,0.0000
-0.1770,0.4847,0.0000,-0.1996,0.4637,0.0000
-0.1739,0.5723,0.0000,-0.1792,0.5441,0.0000
-0.1715,0.5845,0.0000,-0.1739,0.5723,0.0000
-0.1675,0.6047,0.0000,-0.1715,0.5845,0.0000
-0.1635,0.6248,0.0000,-0.1675,0.6047,0.0000
-0.1595,0.6449,0.0000,-0.1635,0.6248,0.0000
-0.1553,0.6650,0.0000,-0.1595,0.6449,0.0000
-0.1544,0.5059,0.0000,-0.1770,0.4847,0.0000
-0.1540,1.1885,0.0000,-0.2001,1.1446,0.0000
-0.1511,0.6850,0.0000,-0.1553,0.6650,0.0000
-0.1454,0.7101,0.0000,-0.1511,0.6850,0.0000
-0.1420,0.7248,0.0000,-0.1454,0.7101,0.0000
-0.1395,0.5198,0.0000,-0.1544,0.5059,0.0000
-0.1370,0.7447,0.0000,-0.1420,0.7248,0.0000
-0.1319,0.7645,0.0000,-0.1370,0.7447,0.0000
-0.1264,0.7843,0.0000,-0.1319,0.7645,0.0000
-0.1208,0.8040,0.0000,-0.1264,0.7843,0.0000
-0.1149,0.8237,0.0000,-0.1208,0.8040,0.0000
-0.1093,0.5481,0.0000,-0.1395,0.5198,0.0000
-0.1089,0.8433,0.0000,-0.1149,0.8237,0.0000
-0.1079,1.2324,0.0000,-0.1540,1.1885,0.0000
-0.1026,0.8629,0.0000,-0.1089,0.8433,0.0000
-0.0961,0.8823,0.0000,-0.1026,0.8629,0.0000
-0.0912,0.8969,0.0000,-0.0961,0.8823,0.0000
-0.0866,0.5692,0.0000,-0.1093,0.5481,0.0000
-0.0826,0.9211,0.0000,-0.0912,0.8969,0.0000
-0.0756,0.9404,0.0000,-0.0826,0.9211,0.0000
-0.0683,0.9596,0.0000,-0.0756,0.9404,0.0000
-0.0640,0.5902,0.0000,-0.0866,0.5692,0.0000
-0.0619,1.2763,0.0000,-0.1079,1.2324,0.0000
-0.0609,0.9787,0.0000,-0.0683,0.9596,0.0000
-0.0532,0.9978,0.0000,-0.0609,0.9787,0.0000
-0.0453,1.0167,0.0000,-0.0532,0.9978,0.0000
-0.0413,0.6113,0.0000,-0.0640,0.5902,0.0000
-0.0371,1.0355,0.0000,-0.0453,1.0167,0.0000
-0.0288,1.0542,0.0000,-0.0371,1.0355,0.0000
-0.0201,1.0728,0.0000,-0.0288,1.0542,0.0000
-0.0187,0.6323,0.0000,-0.0413,0.6113,0.0000
-0.0158,1.3202,0.0000,-0.0619,1.2763,0.0000
-0.0098,1.0942,0.0000,-0.0201,1.0728,0.0000
-0.0021,1.1096,0.0000,-0.0098,1.0942,0.0000
0.0040,0.6534,0.0000,-0.0187,0.6323,0.0000
0.0073,1.1278,0.0000,-0.0021,1.1096,0.0000
